fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-02-20 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.6","0","7.4","2018-02-20 00:36:00","21.7","2018-02-20 12:54:00","99","3.6","9.7","2018-02-20 00:00:00"
"2018-02-21 00:00:00","CARTAGENA","MURCIA","17","13.3","0.2","9.9","2018-02-21 21:00:00","16.7","2018-02-21 14:30:00","34","2.2","8.3","2018-02-21 11:00:00"
"2018-02-21 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.2","0.4","9.8","2018-02-21 20:43:00","16.7","2018-02-21 13:10:00","6","6.7","15","2018-02-21 19:50:00"
"2018-02-22 00:00:00","CARTAGENA","MURCIA","17","10.3","0","7.2","2018-02-22 07:40:00","13.4","2018-02-22 13:40:00","19","1.9","8.6","2018-02-22 15:50:00"
"2018-02-22 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.8","0","3.6","2018-02-22 06:49:00","16","2018-02-22 14:53:00","23","3.1","11.4","2018-02-22 14:56:00"
"2018-02-23 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.8","0","3.5","2018-02-23 23:44:00","14.1","2018-02-23 12:16:00","31","3.1","8.9","2018-02-23 08:47:00"
"2018-02-24 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9","0.3","3","2018-02-24 05:25:00","15.1","2018-02-24 12:49:00","99","3.6","6.7","2018-02-24 00:00:00"
"2018-02-25 00:00:00","CARTAGENA","MURCIA","17","10.2","0","5.9","2018-02-25 04:50:00","14.5","2018-02-25 15:30:00","19","2.2","8.1","2018-02-25 16:20:00"
"2018-02-27 00:00:00","CARTAGENA","MURCIA","17","13.6","0","10.9","2018-02-27 00:00:00","16.2","2018-02-27 14:10:00","2","1.1","5.8","2018-02-27 14:10:00"
"2018-02-28 00:00:00","CARTAGENA","MURCIA","17","15.2","0","11.5","2018-02-28 05:30:00","18.8","2018-02-28 20:10:00","22","2.2","17.5","2018-02-28 23:20:00"
"2018-02-28 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.8","0","10.3","2018-02-28 05:38:00","19.4","2018-02-28 14:25:00","21","4.7","14.4","2018-02-28 00:00:00"
"2018-03-01 00:00:00","CARTAGENA","MURCIA","17","16.6","0","14.6","2018-03-01 04:20:00","18.7","2018-03-01 21:10:00","24","4.4","19.2","2018-03-01 16:00:00"
"2018-03-01 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","16.2","0","12.9","2018-03-01 05:28:00","19.4","2018-03-01 09:29:00","24","8.3","20.6","2018-03-01 19:43:00"
"2018-03-02 00:00:00","CARTAGENA","MURCIA","17","14.7","0.5","12.4","2018-03-02 06:00:00","17","2018-03-02 00:10:00","28","2.8","12.2","2018-03-02 01:00:00"
"2018-03-02 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14","0.6","9.5","2018-03-02 06:39:00","18.5","2018-03-02 15:38:00","21","5.6","15","2018-03-02 12:45:00"
"2018-03-03 00:00:00","CARTAGENA","MURCIA","17","15.2","4.3","12.1","2018-03-03 23:40:00","18.2","2018-03-03 09:30:00","23","3.3","16.9","2018-03-03 04:50:00"
"2018-03-03 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","16.4","3.6","11.3","2018-03-03 23:49:00","21.5","2018-03-03 10:03:00","20","3.6","11.4","2018-03-03 03:51:00"
